Step,AgentID,Wealth,Position,Vision,N_Agents,Size,inheritance taxbrackets,inheritance tax percentages,Starting Wealth
0,0,5.0,"(28, 29)",5,250,50,[],[],5
0,1,5.0,"(9, 23)",5,250,50,[],[],5
0,2,5.0,"(1, 16)",5,250,50,[],[],5
0,3,5.0,"(45, 1)",5,250,50,[],[],5
0,4,5.0,"(15, 40)",5,250,50,[],[],5
0,5,5.0,"(43, 40)",5,250,50,[],[],5
0,6,5.0,"(4, 31)",5,250,50,[],[],5
0,7,5.0,"(24, 21)",5,250,50,[],[],5
0,8,5.0,"(43, 37)",5,250,50,[],[],5
0,9,5.0,"(8, 24)",5,250,50,[],[],5
0,10,5.0,"(6, 12)",5,250,50,[],[],5
0,11,5.0,"(40, 23)",5,250,50,[],[],5
0,12,5.0,"(24, 32)",5,250,50,[],[],5
0,13,5.0,"(46, 8)",5,250,50,[],[],5
0,14,5.0,"(24, 29)",5,250,50,[],[],5
0,15,5.0,"(23, 14)",5,250,50,[],[],5
0,16,5.0,"(46, 7)",5,250,50,[],[],5
0,17,5.0,"(40, 9)",5,250,50,[],[],5
0,18,5.0,"(2, 45)",5,250,50,[],[],5
0,19,5.0,"(8, 47)",5,250,50,[],[],5
0,20,5.0,"(15, 6)",5,250,50,[],[],5
0,21,5.0,"(36, 25)",5,250,50,[],[],5
0,22,5.0,"(35, 17)",5,250,50,[],[],5
0,23,5.0,"(32, 41)",5,250,50,[],[],5
0,24,5.0,"(31, 36)",5,250,50,[],[],5
0,25,5.0,"(0, 7)",5,250,50,[],[],5
0,26,5.0,"(23, 13)",5,250,50,[],[],5
0,27,5.0,"(22, 16)",5,250,50,[],[],5
0,28,5.0,"(26, 11)",5,250,50,[],[],5
0,29,5.0,"(25, 25)",5,250,50,[],[],5
0,30,5.0,"(9, 21)",5,250,50,[],[],5
0,31,5.0,"(23, 49)",5,250,50,[],[],5
0,32,5.0,"(24, 38)",5,250,50,[],[],5
0,33,5.0,"(11, 26)",5,250,50,[],[],5
0,34,5.0,"(19, 37)",5,250,50,[],[],5
0,35,5.0,"(37, 48)",5,250,50,[],[],5
0,36,5.0,"(29, 46)",5,250,50,[],[],5
0,37,5.0,"(18, 45)",5,250,50,[],[],5
0,38,5.0,"(21, 17)",5,250,50,[],[],5
0,39,5.0,"(29, 4)",5,250,50,[],[],5
0,40,5.0,"(45, 37)",5,250,50,[],[],5
0,41,5.0,"(1, 39)",5,250,50,[],[],5
0,42,5.0,"(41, 33)",5,250,50,[],[],5
0,43,5.0,"(24, 49)",5,250,50,[],[],5
0,44,5.0,"(39, 28)",5,250,50,[],[],5
0,45,5.0,"(31, 23)",5,250,50,[],[],5
0,46,5.0,"(8, 30)",5,250,50,[],[],5
0,47,5.0,"(10, 5)",5,250,50,[],[],5
0,48,5.0,"(19, 34)",5,250,50,[],[],5
0,49,5.0,"(8, 39)",5,250,50,[],[],5
0,50,5.0,"(26, 45)",5,250,50,[],[],5
0,51,5.0,"(42, 33)",5,250,50,[],[],5
0,52,5.0,"(2, 16)",5,250,50,[],[],5
0,53,5.0,"(19, 28)",5,250,50,[],[],5
0,54,5.0,"(19, 23)",5,250,50,[],[],5
0,55,5.0,"(8, 37)",5,250,50,[],[],5
0,56,5.0,"(9, 4)",5,250,50,[],[],5
0,57,5.0,"(18, 25)",5,250,50,[],[],5
0,58,5.0,"(45, 9)",5,250,50,[],[],5
0,59,5.0,"(5, 5)",5,250,50,[],[],5
0,60,5.0,"(25, 27)",5,250,50,[],[],5
0,61,5.0,"(23, 3)",5,250,50,[],[],5
0,62,5.0,"(12, 49)",5,250,50,[],[],5
0,63,5.0,"(43, 7)",5,250,50,[],[],5
0,64,5.0,"(26, 30)",5,250,50,[],[],5
0,65,5.0,"(16, 21)",5,250,50,[],[],5
0,66,5.0,"(16, 30)",5,250,50,[],[],5
0,67,5.0,"(29, 22)",5,250,50,[],[],5
0,68,5.0,"(3, 46)",5,250,50,[],[],5
0,69,5.0,"(49, 38)",5,250,50,[],[],5
0,70,5.0,"(33, 21)",5,250,50,[],[],5
0,71,5.0,"(14, 49)",5,250,50,[],[],5
