Step,AgentID,Wealth,Position,Vision,N_Agents,Size,inheritance taxbrackets,inheritance tax percentages,Starting Wealth
0,0,5.0,"(43, 30)",5,100,50,[],[],5
0,1,5.0,"(32, 6)",5,100,50,[],[],5
0,2,5.0,"(0, 34)",5,100,50,[],[],5
0,3,5.0,"(43, 44)",5,100,50,[],[],5
0,4,5.0,"(24, 19)",5,100,50,[],[],5
0,5,5.0,"(35, 42)",5,100,50,[],[],5
0,6,5.0,"(1, 7)",5,100,50,[],[],5
0,7,5.0,"(16, 42)",5,100,50,[],[],5
0,8,5.0,"(5, 15)",5,100,50,[],[],5
0,9,5.0,"(18, 17)",5,100,50,[],[],5
0,10,5.0,"(27, 46)",5,100,50,[],[],5
0,11,5.0,"(28, 13)",5,100,50,[],[],5
0,12,5.0,"(35, 10)",5,100,50,[],[],5
0,13,5.0,"(32, 9)",5,100,50,[],[],5
0,14,5.0,"(19, 8)",5,100,50,[],[],5
0,15,5.0,"(42, 14)",5,100,50,[],[],5
0,16,5.0,"(8, 47)",5,100,50,[],[],5
0,17,5.0,"(33, 37)",5,100,50,[],[],5
0,18,5.0,"(19, 14)",5,100,50,[],[],5
0,19,5.0,"(5, 20)",5,100,50,[],[],5
0,20,5.0,"(12, 22)",5,100,50,[],[],5
0,21,5.0,"(42, 17)",5,100,50,[],[],5
0,22,5.0,"(12, 9)",5,100,50,[],[],5
0,23,5.0,"(15, 23)",5,100,50,[],[],5
0,24,5.0,"(3, 9)",5,100,50,[],[],5
0,25,5.0,"(32, 8)",5,100,50,[],[],5
0,26,5.0,"(28, 23)",5,100,50,[],[],5
0,27,5.0,"(4, 7)",5,100,50,[],[],5
0,28,5.0,"(15, 28)",5,100,50,[],[],5
0,29,5.0,"(15, 19)",5,100,50,[],[],5
0,30,5.0,"(20, 2)",5,100,50,[],[],5
0,31,5.0,"(8, 8)",5,100,50,[],[],5
0,32,5.0,"(13, 9)",5,100,50,[],[],5
0,33,5.0,"(16, 7)",5,100,50,[],[],5
0,34,5.0,"(37, 30)",5,100,50,[],[],5
0,35,5.0,"(33, 25)",5,100,50,[],[],5
0,36,5.0,"(18, 22)",5,100,50,[],[],5
0,37,5.0,"(38, 34)",5,100,50,[],[],5
0,38,5.0,"(11, 29)",5,100,50,[],[],5
0,39,5.0,"(48, 30)",5,100,50,[],[],5
0,40,5.0,"(11, 33)",5,100,50,[],[],5
0,41,5.0,"(14, 35)",5,100,50,[],[],5
0,42,5.0,"(26, 45)",5,100,50,[],[],5
0,43,5.0,"(5, 23)",5,100,50,[],[],5
0,44,5.0,"(5, 2)",5,100,50,[],[],5
0,45,5.0,"(41, 3)",5,100,50,[],[],5
0,46,5.0,"(23, 49)",5,100,50,[],[],5
0,47,5.0,"(40, 47)",5,100,50,[],[],5
0,48,5.0,"(43, 29)",5,100,50,[],[],5
0,49,5.0,"(2, 40)",5,100,50,[],[],5
0,50,5.0,"(22, 30)",5,100,50,[],[],5
0,51,5.0,"(8, 13)",5,100,50,[],[],5
0,52,5.0,"(14, 3)",5,100,50,[],[],5
0,53,5.0,"(31, 4)",5,100,50,[],[],5
0,54,5.0,"(23, 39)",5,100,50,[],[],5
0,55,5.0,"(24, 39)",5,100,50,[],[],5
0,56,5.0,"(1, 16)",5,100,50,[],[],5
0,57,5.0,"(1, 46)",5,100,50,[],[],5
0,58,5.0,"(41, 2)",5,100,50,[],[],5
0,59,5.0,"(25, 34)",5,100,50,[],[],5
0,60,5.0,"(7, 8)",5,100,50,[],[],5
0,61,5.0,"(39, 18)",5,100,50,[],[],5
0,62,5.0,"(21, 21)",5,100,50,[],[],5
0,63,5.0,"(42, 16)",5,100,50,[],[],5
0,64,5.0,"(46, 49)",5,100,50,[],[],5
0,65,5.0,"(30, 16)",5,100,50,[],[],5
0,66,5.0,"(45, 9)",5,100,50,[],[],5
0,67,5.0,"(21, 22)",5,100,50,[],[],5
0,68,5.0,"(9, 45)",5,100,50,[],[],5
