Step,AgentID,Wealth,Position,Tax Revenue
16,9,22.65340943355741,"(7, 42)",
17,0,22.1704549261749,"(35, 20)",
17,1,23.08806849020167,"(34, 17)",
17,2,15.0736248,"(30, 17)",
17,3,23.08806849020167,"(15, 36)",
17,4,22.1704549261749,"(34, 15)",
17,5,22.678828091840703,"(30, 12)",
17,6,22.678828091840703,"(36, 17)",
17,7,21.03759867429,"(11, 39)",
17,8,22.424641509007806,"(13, 39)",
17,9,23.08806849020167,"(9, 44)",
18,0,22.65340943355741,"(37, 17)",
18,1,23.479261641181505,"(37, 14)",
18,2,16.26626232,"(31, 19)",
18,3,23.479261641181505,"(16, 38)",
18,4,22.65340943355741,"(31, 13)",
18,5,23.110945282656633,"(33, 11)",
18,6,23.110945282656633,"(39, 14)",
18,7,21.633838806861,"(12, 41)",
18,8,22.882177358107025,"(14, 37)",
18,9,23.479261641181505,"(11, 42)",
19,0,23.08806849020167,"(36, 20)",
19,1,23.831335477063355,"(36, 16)",
19,2,17.339636088,"(30, 18)",
19,3,23.831335477063355,"(15, 41)",
19,4,23.08806849020167,"(33, 10)",
19,5,23.49985075439097,"(35, 12)",
19,6,23.49985075439097,"(38, 17)",
19,7,22.1704549261749,"(10, 38)",
19,8,23.293959622296324,"(12, 38)",
19,9,23.831335477063355,"(14, 43)",
20,0,23.479261641181505,"(33, 20)",
20,1,24.148201929357022,"(37, 18)",
20,2,18.3056724792,"(29, 16)",
20,3,24.148201929357022,"(14, 38)",
20,4,23.479261641181505,"(36, 13)",
20,5,23.849865678951872,"(33, 9)",
20,6,23.849865678951872,"(37, 19)",
20,7,22.65340943355741,"(7, 36)",
20,8,23.66456366006669,"(9, 39)",
20,9,24.148201929357022,"(13, 42)",
21,0,23.831335477063355,"(35, 18)",
21,1,24.43338173642132,"(35, 20)",
21,2,19.17510523128,"(32, 16)",
21,3,24.43338173642132,"(14, 41)",
21,4,23.831335477063355,"(38, 15)",
21,5,24.164879111056685,"(36, 10)",
21,6,24.164879111056685,"(34, 20)",
21,7,23.08806849020167,"(7, 39)",
21,8,23.998107294060024,"(9, 40)",
21,9,24.43338173642132,"(13, 43)",
22,0,24.148201929357022,"(35, 16)",
22,1,24.690043562779188,"(32, 18)",
22,2,19.957594708152,"(31, 13)",
22,3,24.690043562779188,"(12, 40)",
22,4,24.148201929357022,"(40, 15)",
22,5,24.44839119995102,"(38, 11)",
22,6,24.44839119995102,"(33, 17)",
22,7,23.479261641181505,"(6, 36)",
22,8,24.29829656465402,"(10, 39)",
22,9,24.690043562779188,"(12, 42)",
23,0,24.43338173642132,"(38, 16)",
23,1,24.92103920650127,"(35, 19)",
23,2,20.661835237336803,"(34, 10)",
23,3,24.92103920650127,"(9, 41)",
23,4,24.43338173642132,"(38, 13)",
23,5,24.703552079955916,"(35, 12)",
23,6,24.703552079955916,"(34, 14)",
23,7,23.831335477063355,"(7, 34)",
23,8,24.56846690818862,"(7, 42)",
23,9,24.92103920650127,"(11, 42)",
24,0,24.690043562779188,"(36, 16)",
24,1,25.128935285851142,"(36, 17)",
24,2,21.295651713603124,"(34, 9)",
24,3,25.128935285851142,"(8, 40)",
24,4,24.690043562779188,"(35, 10)",
24,5,24.933196871960323,"(37, 11)",
24,6,24.933196871960323,"(34, 16)",
24,7,24.148201929357022,"(5, 37)",
24,8,24.811620217369757,"(7, 43)",
24,9,25.128935285851142,"(13, 40)",
25,0,24.92103920650127,"(34, 15)",
25,1,25.316041757266028,"(39, 15)",
25,2,21.86608654224281,"(36, 10)",
25,3,25.316041757266028,"(7, 40)",
25,4,24.92103920650127,"(33, 9)",
25,5,25.13987718476429,"(38, 14)",
25,6,25.13987718476429,"(32, 19)",
25,7,24.43338173642132,"(8, 36)",
25,8,25.030458195632782,"(9, 44)",
25,9,25.316041757266028,"(13, 37)",
26,0,25.128935285851142,"(31, 12)",
26,1,25.484437581539424,"(38, 12)",
26,2,22.37947788801853,"(37, 10)",
26,3,25.484437581539424,"(6, 39)",
26,4,25.128935285851142,"(30, 11)",
26,5,25.32588946628786,"(38, 17)",
26,6,25.32588946628786,"(31, 17)",
26,7,24.690043562779188,"(10, 35)",
26,8,25.227412376069505,"(11, 43)",
26,9,25.484437581539424,"(16, 39)",
27,0,25.316041757266028,"(34, 14)",
27,1,25.635993823385483,"(36, 15)",
27,2,22.84153009921668,"(36, 11)",
27,3,25.635993823385483,"(7, 38)",
27,4,25.316041757266028,"(33, 11)",
27,5,25.493300519659076,"(35, 15)",
27,6,25.493300519659076,"(30, 18)",
27,7,24.92103920650127,"(9, 35)",
27,8,25.404671138462554,"(10, 40)",
27,9,25.635993823385483,"(13, 38)",
28,0,25.484437581539424,"(37, 12)",
28,1,25.772394441046934,"(35, 14)",
28,2,23.257377089295012,"(34, 9)",
28,3,25.772394441046934,"(5, 38)",
28,4,25.484437581539424,"(30, 13)",
28,5,25.64397046769317,"(32, 14)",
28,6,25.64397046769317,"(31, 19)",
28,7,25.128935285851142,"(11, 38)",
28,8,25.5642040246163,"(7, 42)",
28,9,25.772394441046934,"(14, 40)",
29,0,25.635993823385483,"(37, 14)",
29,1,25.895154996942242,"(37, 17)",
29,2,23.631639380365513,"(35, 9)",
29,3,25.895154996942242,"(6, 35)",
29,4,25.635993823385483,"(30, 14)",
29,5,25.779573420923853,"(32, 16)",
29,6,25.779573420923853,"(30, 17)",
