Step,AgentID,Wealth,Position
0,0,2.0,"(4, 43)"
0,1,2.0,"(45, 14)"
0,2,2.0,"(23, 34)"
0,3,2.0,"(28, 41)"
0,4,2.0,"(9, 1)"
0,5,2.0,"(32, 11)"
0,6,2.0,"(25, 34)"
0,7,2.0,"(39, 18)"
0,8,2.0,"(49, 9)"
0,9,2.0,"(9, 38)"
0,10,2.0,"(10, 42)"
0,11,2.0,"(36, 16)"
0,12,2.0,"(10, 9)"
0,13,2.0,"(16, 10)"
0,14,2.0,"(37, 39)"
0,15,2.0,"(48, 16)"
0,16,2.0,"(5, 43)"
0,17,2.0,"(28, 5)"
0,18,2.0,"(5, 45)"
0,19,2.0,"(49, 14)"
0,20,2.0,"(49, 16)"
0,21,2.0,"(9, 28)"
0,22,2.0,"(28, 14)"
0,23,2.0,"(18, 20)"
0,24,2.0,"(22, 17)"
0,25,2.0,"(15, 45)"
0,26,2.0,"(28, 44)"
0,27,2.0,"(24, 2)"
0,28,2.0,"(5, 30)"
0,29,2.0,"(39, 16)"
0,30,2.0,"(35, 30)"
0,31,2.0,"(30, 34)"
0,32,2.0,"(23, 23)"
0,33,2.0,"(7, 15)"
0,34,2.0,"(29, 11)"
0,35,2.0,"(25, 17)"
0,36,2.0,"(10, 35)"
0,37,2.0,"(9, 31)"
0,38,2.0,"(29, 31)"
0,39,2.0,"(16, 26)"
0,40,2.0,"(39, 7)"
0,41,2.0,"(23, 14)"
0,42,2.0,"(26, 25)"
0,43,2.0,"(37, 35)"
0,44,2.0,"(41, 30)"
0,45,2.0,"(21, 13)"
0,46,2.0,"(32, 28)"
0,47,2.0,"(16, 11)"
0,48,2.0,"(43, 9)"
0,49,2.0,"(25, 10)"
0,50,2.0,"(27, 18)"
0,51,2.0,"(14, 24)"
0,52,2.0,"(40, 19)"
0,53,2.0,"(40, 15)"
0,54,2.0,"(30, 44)"
0,55,2.0,"(13, 19)"
0,56,2.0,"(3, 40)"
0,57,2.0,"(38, 22)"
