Step,AgentID,Wealth,Position,Vision,N_Agents,Size,tax brackets,tax percentages,inheritance taxbrackets,inheritance tax percentages,Starting Wealth
0,0,5.0,"(10, 12)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,1,5.0,"(45, 12)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,2,5.0,"(0, 49)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,3,5.0,"(49, 49)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,4,5.0,"(12, 29)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,5,5.0,"(16, 21)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,6,5.0,"(15, 21)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,7,5.0,"(12, 2)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,8,5.0,"(45, 16)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,9,5.0,"(14, 48)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,10,5.0,"(31, 19)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,11,5.0,"(22, 1)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,12,5.0,"(29, 38)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,13,5.0,"(37, 23)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,14,5.0,"(16, 29)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,15,5.0,"(12, 30)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,16,5.0,"(24, 41)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,17,5.0,"(41, 0)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,18,5.0,"(13, 45)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
0,19,5.0,"(34, 21)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,0,5.0,"(11, 12)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,1,7.0,"(45, 13)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,2,6.0,"(1, 49)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,3,4.0,"(49, 49)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,4,7.0,"(13, 29)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,5,6.0,"(17, 21)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,6,6.0,"(15, 20)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,7,4.0,"(12, 2)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,8,7.0,"(45, 17)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,9,7.0,"(15, 48)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,10,8.0,"(32, 19)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,11,5.0,"(21, 1)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,12,5.0,"(28, 38)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,13,7.0,"(36, 23)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,14,7.0,"(16, 28)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,15,7.0,"(11, 30)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,16,6.0,"(24, 40)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,17,6.0,"(41, 1)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
1,18,8.0,"(12, 44)",1,20,50,"[0, 0]","[0, 0]","[0, 10, 30, 50, 100]","[0, 0.3, 0.3, 0.35, 0.6]",5
