Step,AgentID,Wealth,Position,Vision,N_Agents,Size,inheritance taxbrackets,inheritance tax percentages,Starting Wealth
0,0,5.0,"(16, 24)",5,100,50,[],[],5
0,1,5.0,"(1, 29)",5,100,50,[],[],5
0,2,5.0,"(20, 7)",5,100,50,[],[],5
0,3,5.0,"(2, 2)",5,100,50,[],[],5
0,4,5.0,"(9, 41)",5,100,50,[],[],5
0,5,5.0,"(1, 20)",5,100,50,[],[],5
0,6,5.0,"(30, 23)",5,100,50,[],[],5
0,7,5.0,"(48, 31)",5,100,50,[],[],5
0,8,5.0,"(19, 31)",5,100,50,[],[],5
0,9,5.0,"(39, 42)",5,100,50,[],[],5
0,10,5.0,"(39, 1)",5,100,50,[],[],5
0,11,5.0,"(48, 17)",5,100,50,[],[],5
0,12,5.0,"(6, 49)",5,100,50,[],[],5
0,13,5.0,"(38, 22)",5,100,50,[],[],5
0,14,5.0,"(4, 25)",5,100,50,[],[],5
0,15,5.0,"(4, 1)",5,100,50,[],[],5
0,16,5.0,"(36, 33)",5,100,50,[],[],5
0,17,5.0,"(27, 20)",5,100,50,[],[],5
0,18,5.0,"(13, 38)",5,100,50,[],[],5
0,19,5.0,"(14, 31)",5,100,50,[],[],5
0,20,5.0,"(11, 17)",5,100,50,[],[],5
0,21,5.0,"(15, 11)",5,100,50,[],[],5
0,22,5.0,"(6, 26)",5,100,50,[],[],5
0,23,5.0,"(35, 42)",5,100,50,[],[],5
0,24,5.0,"(19, 3)",5,100,50,[],[],5
0,25,5.0,"(36, 15)",5,100,50,[],[],5
0,26,5.0,"(23, 46)",5,100,50,[],[],5
0,27,5.0,"(42, 44)",5,100,50,[],[],5
0,28,5.0,"(14, 44)",5,100,50,[],[],5
0,29,5.0,"(37, 8)",5,100,50,[],[],5
0,30,5.0,"(0, 41)",5,100,50,[],[],5
0,31,5.0,"(46, 43)",5,100,50,[],[],5
0,32,5.0,"(43, 26)",5,100,50,[],[],5
0,33,5.0,"(21, 4)",5,100,50,[],[],5
0,34,5.0,"(48, 34)",5,100,50,[],[],5
0,35,5.0,"(6, 42)",5,100,50,[],[],5
0,36,5.0,"(2, 15)",5,100,50,[],[],5
0,37,5.0,"(36, 15)",5,100,50,[],[],5
0,38,5.0,"(38, 3)",5,100,50,[],[],5
