Step,AgentID,Wealth,Position,Exp name,Vision,Tax Rate,Ams map,Death,Inst regrowth
0,0,5.0,"(27, 22)",insregrow,6,1,True,True,False
0,1,5.0,"(29, 1)",insregrow,6,1,True,True,False
0,2,5.0,"(36, 44)",insregrow,6,1,True,True,False
0,3,5.0,"(37, 42)",insregrow,6,1,True,True,False
0,4,5.0,"(0, 39)",insregrow,6,1,True,True,False
0,5,5.0,"(47, 34)",insregrow,6,1,True,True,False
0,6,5.0,"(11, 0)",insregrow,6,1,True,True,False
0,7,5.0,"(5, 37)",insregrow,6,1,True,True,False
0,8,5.0,"(15, 11)",insregrow,6,1,True,True,False
0,9,5.0,"(4, 10)",insregrow,6,1,True,True,False
0,10,5.0,"(41, 10)",insregrow,6,1,True,True,False
0,11,5.0,"(38, 24)",insregrow,6,1,True,True,False
0,12,5.0,"(14, 35)",insregrow,6,1,True,True,False
0,13,5.0,"(47, 36)",insregrow,6,1,True,True,False
0,14,5.0,"(42, 41)",insregrow,6,1,True,True,False
0,15,5.0,"(38, 3)",insregrow,6,1,True,True,False
0,16,5.0,"(48, 28)",insregrow,6,1,True,True,False
0,17,5.0,"(46, 5)",insregrow,6,1,True,True,False
0,18,5.0,"(35, 26)",insregrow,6,1,True,True,False
0,19,5.0,"(47, 28)",insregrow,6,1,True,True,False
0,20,5.0,"(13, 48)",insregrow,6,1,True,True,False
0,21,5.0,"(47, 39)",insregrow,6,1,True,True,False
0,22,5.0,"(40, 19)",insregrow,6,1,True,True,False
0,23,5.0,"(23, 3)",insregrow,6,1,True,True,False
0,24,5.0,"(24, 37)",insregrow,6,1,True,True,False
0,25,5.0,"(19, 18)",insregrow,6,1,True,True,False
0,26,5.0,"(18, 6)",insregrow,6,1,True,True,False
0,27,5.0,"(25, 0)",insregrow,6,1,True,True,False
0,28,5.0,"(27, 23)",insregrow,6,1,True,True,False
0,29,5.0,"(29, 47)",insregrow,6,1,True,True,False
0,30,5.0,"(25, 7)",insregrow,6,1,True,True,False
0,31,5.0,"(12, 34)",insregrow,6,1,True,True,False
0,32,5.0,"(27, 18)",insregrow,6,1,True,True,False
0,33,5.0,"(48, 37)",insregrow,6,1,True,True,False
0,34,5.0,"(5, 30)",insregrow,6,1,True,True,False
0,35,5.0,"(34, 17)",insregrow,6,1,True,True,False
0,36,5.0,"(11, 15)",insregrow,6,1,True,True,False
0,37,5.0,"(17, 25)",insregrow,6,1,True,True,False
0,38,5.0,"(11, 44)",insregrow,6,1,True,True,False
0,39,5.0,"(43, 43)",insregrow,6,1,True,True,False
0,40,5.0,"(37, 42)",insregrow,6,1,True,True,False
0,41,5.0,"(18, 26)",insregrow,6,1,True,True,False
0,42,5.0,"(0, 37)",insregrow,6,1,True,True,False
0,43,5.0,"(19, 40)",insregrow,6,1,True,True,False
0,44,5.0,"(3, 15)",insregrow,6,1,True,True,False
0,45,5.0,"(5, 44)",insregrow,6,1,True,True,False
0,46,5.0,"(12, 15)",insregrow,6,1,True,True,False
0,47,5.0,"(27, 21)",insregrow,6,1,True,True,False
0,48,5.0,"(4, 43)",insregrow,6,1,True,True,False
0,49,5.0,"(30, 4)",insregrow,6,1,True,True,False
0,50,5.0,"(40, 18)",insregrow,6,1,True,True,False
0,51,5.0,"(19, 48)",insregrow,6,1,True,True,False
0,52,5.0,"(20, 37)",insregrow,6,1,True,True,False
0,53,5.0,"(7, 36)",insregrow,6,1,True,True,False
0,54,5.0,"(17, 15)",insregrow,6,1,True,True,False
0,55,5.0,"(10, 13)",insregrow,6,1,True,True,False
0,56,5.0,"(35, 48)",insregrow,6,1,True,True,False
0,57,5.0,"(8, 10)",insregrow,6,1,True,True,False
0,58,5.0,"(32, 28)",insregrow,6,1,True,True,False
0,59,5.0,"(6, 1)",insregrow,6,1,True,True,False
0,60,5.0,"(31, 15)",insregrow,6,1,True,True,False
0,61,5.0,"(46, 31)",insregrow,6,1,True,True,False
0,62,5.0,"(29, 10)",insregrow,6,1,True,True,False
0,63,5.0,"(13, 23)",insregrow,6,1,True,True,False
0,64,5.0,"(15, 11)",insregrow,6,1,True,True,False
0,65,5.0,"(48, 40)",insregrow,6,1,True,True,False
0,66,5.0,"(37, 13)",insregrow,6,1,True,True,False
0,67,5.0,"(44, 27)",insregrow,6,1,True,True,False
0,68,5.0,"(7, 41)",insregrow,6,1,True,True,False
0,69,5.0,"(15, 32)",insregrow,6,1,True,True,False
0,70,5.0,"(42, 3)",insregrow,6,1,True,True,False
0,71,5.0,"(32, 35)",insregrow,6,1,True,True,False
0,72,5.0,"(20, 24)",insregrow,6,1,True,True,False
0,73,5.0,"(41, 46)",insregrow,6,1,True,True,False
0,74,5.0,"(19, 6)",insregrow,6,1,True,True,False
0,75,5.0,"(8, 29)",insregrow,6,1,True,True,False
0,76,5.0,"(6, 9)",insregrow,6,1,True,True,False
0,77,5.0,"(36, 34)",insregrow,6,1,True,True,False
0,78,5.0,"(24, 15)",insregrow,6,1,True,True,False
0,79,5.0,"(29, 4)",insregrow,6,1,True,True,False
0,80,5.0,"(8, 30)",insregrow,6,1,True,True,False
0,81,5.0,"(2, 15)",insregrow,6,1,True,True,False
0,82,5.0,"(17, 2)",insregrow,6,1,True,True,False
0,83,5.0,"(0, 13)",insregrow,6,1,True,True,False
0,84,5.0,"(45, 26)",insregrow,6,1,True,True,False
0,85,5.0,"(2, 12)",insregrow,6,1,True,True,False
0,86,5.0,"(2, 15)",insregrow,6,1,True,True,False
0,87,5.0,"(41, 12)",insregrow,6,1,True,True,False
0,88,5.0,"(11, 34)",insregrow,6,1,True,True,False
0,89,5.0,"(5, 1)",insregrow,6,1,True,True,False
0,90,5.0,"(42, 34)",insregrow,6,1,True,True,False
0,91,5.0,"(19, 43)",insregrow,6,1,True,True,False
0,92,5.0,"(49, 31)",insregrow,6,1,True,True,False
0,93,5.0,"(44, 17)",insregrow,6,1,True,True,False
0,94,5.0,"(17, 12)",insregrow,6,1,True,True,False
0,95,5.0,"(47, 12)",insregrow,6,1,True,True,False
0,96,5.0,"(12, 33)",insregrow,6,1,True,True,False
0,97,5.0,"(43, 4)",insregrow,6,1,True,True,False
0,98,5.0,"(12, 37)",insregrow,6,1,True,True,False
0,99,5.0,"(21, 12)",insregrow,6,1,True,True,False
0,100,5.0,"(37, 31)",insregrow,6,1,True,True,False
0,101,5.0,"(9, 32)",insregrow,6,1,True,True,False
0,102,5.0,"(41, 37)",insregrow,6,1,True,True,False
0,103,5.0,"(17, 0)",insregrow,6,1,True,True,False
0,104,5.0,"(33, 44)",insregrow,6,1,True,True,False
0,105,5.0,"(27, 33)",insregrow,6,1,True,True,False
0,106,5.0,"(22, 1)",insregrow,6,1,True,True,False
0,107,5.0,"(45, 46)",insregrow,6,1,True,True,False
0,108,5.0,"(39, 12)",insregrow,6,1,True,True,False
0,109,5.0,"(4, 34)",insregrow,6,1,True,True,False
0,110,5.0,"(31, 40)",insregrow,6,1,True,True,False
0,111,5.0,"(24, 39)",insregrow,6,1,True,True,False
0,112,5.0,"(41, 49)",insregrow,6,1,True,True,False
0,113,5.0,"(23, 23)",insregrow,6,1,True,True,False
0,114,5.0,"(8, 33)",insregrow,6,1,True,True,False
0,115,5.0,"(2, 43)",insregrow,6,1,True,True,False
0,116,5.0,"(37, 45)",insregrow,6,1,True,True,False
0,117,5.0,"(27, 30)",insregrow,6,1,True,True,False
0,118,5.0,"(43, 8)",insregrow,6,1,True,True,False
0,119,5.0,"(39, 21)",insregrow,6,1,True,True,False
0,120,5.0,"(4, 7)",insregrow,6,1,True,True,False
0,121,5.0,"(28, 46)",insregrow,6,1,True,True,False
0,122,5.0,"(25, 40)",insregrow,6,1,True,True,False
0,123,5.0,"(27, 30)",insregrow,6,1,True,True,False
0,124,5.0,"(23, 12)",insregrow,6,1,True,True,False
0,125,5.0,"(33, 47)",insregrow,6,1,True,True,False
0,126,5.0,"(42, 30)",insregrow,6,1,True,True,False
0,127,5.0,"(46, 15)",insregrow,6,1,True,True,False
0,128,5.0,"(23, 9)",insregrow,6,1,True,True,False
0,129,5.0,"(24, 11)",insregrow,6,1,True,True,False
0,130,5.0,"(37, 48)",insregrow,6,1,True,True,False
0,131,5.0,"(10, 33)",insregrow,6,1,True,True,False
0,132,5.0,"(11, 45)",insregrow,6,1,True,True,False
0,133,5.0,"(13, 10)",insregrow,6,1,True,True,False
0,134,5.0,"(15, 32)",insregrow,6,1,True,True,False
0,135,5.0,"(33, 7)",insregrow,6,1,True,True,False
0,136,5.0,"(42, 33)",insregrow,6,1,True,True,False
0,137,5.0,"(43, 32)",insregrow,6,1,True,True,False
0,138,5.0,"(32, 29)",insregrow,6,1,True,True,False
0,139,5.0,"(47, 23)",insregrow,6,1,True,True,False
0,140,5.0,"(8, 22)",insregrow,6,1,True,True,False
0,141,5.0,"(4, 43)",insregrow,6,1,True,True,False
0,142,5.0,"(42, 33)",insregrow,6,1,True,True,False
0,143,5.0,"(39, 5)",insregrow,6,1,True,True,False
0,144,5.0,"(13, 28)",insregrow,6,1,True,True,False
0,145,5.0,"(1, 25)",insregrow,6,1,True,True,False
0,146,5.0,"(17, 47)",insregrow,6,1,True,True,False
0,147,5.0,"(42, 18)",insregrow,6,1,True,True,False
0,148,5.0,"(34, 47)",insregrow,6,1,True,True,False
0,149,5.0,"(37, 11)",insregrow,6,1,True,True,False
0,150,5.0,"(16, 1)",insregrow,6,1,True,True,False
0,151,5.0,"(30, 14)",insregrow,6,1,True,True,False
0,152,5.0,"(41, 31)",insregrow,6,1,True,True,False
0,153,5.0,"(40, 0)",insregrow,6,1,True,True,False
0,154,5.0,"(23, 9)",insregrow,6,1,True,True,False
0,155,5.0,"(9, 3)",insregrow,6,1,True,True,False
0,156,5.0,"(34, 10)",insregrow,6,1,True,True,False
0,157,5.0,"(31, 39)",insregrow,6,1,True,True,False
0,158,5.0,"(30, 31)",insregrow,6,1,True,True,False
0,159,5.0,"(49, 5)",insregrow,6,1,True,True,False
0,160,5.0,"(21, 43)",insregrow,6,1,True,True,False
0,161,5.0,"(8, 29)",insregrow,6,1,True,True,False
0,162,5.0,"(10, 22)",insregrow,6,1,True,True,False
0,163,5.0,"(44, 2)",insregrow,6,1,True,True,False
0,164,5.0,"(16, 12)",insregrow,6,1,True,True,False
0,165,5.0,"(20, 44)",insregrow,6,1,True,True,False
0,166,5.0,"(33, 25)",insregrow,6,1,True,True,False
0,167,5.0,"(5, 38)",insregrow,6,1,True,True,False
0,168,5.0,"(22, 6)",insregrow,6,1,True,True,False
0,169,5.0,"(32, 27)",insregrow,6,1,True,True,False
0,170,5.0,"(46, 29)",insregrow,6,1,True,True,False
0,171,5.0,"(21, 27)",insregrow,6,1,True,True,False
0,172,5.0,"(13, 24)",insregrow,6,1,True,True,False
0,173,5.0,"(21, 24)",insregrow,6,1,True,True,False
